"Country" "Continent" "LE" "CigCon" "LE.q" "Cont" "Cont2" "HealthExpPC" "Year" "HE" "LogHE" "HE5"
"Sierra Leone" "Sierra Leone" "Africa" 28.6 NA "(28.6,40.2]" "Afrc" "Africa" 6.6 2004 "[0.3,31.1]" 1.88706964903238 "[0.3,24.2]"
"Singapore" "Singapore" "Asia" 70.1 1230 "(63.4,75]" "Asia" "Asia" 942.9 2004 "(476,6.1e+03]" 6.84896023247163 "(695,6.1e+03]"
"Slovakia" "Slovakia" "Europe" 66.2 2282 "(63.4,75]" "Eurp" "Europe" 565.1 2004 "(476,6.1e+03]" 6.3370027066358 "(212,695]"
"Slovenia" "Slovenia" "Europe" 69.5 NA "(63.4,75]" "Eurp" "Europe" 1438.2 2004 "(476,6.1e+03]" 7.27114761066839 "(695,6.1e+03]"
"Solomon Islands" "Solomon Islands" "Asia" 56.2 NA "(51.8,63.4]" "Asia" "Asia" 34.8 2004 "(31.1,152]" 3.54961738678043 "(24.2,81.2]"
"Somalia" "Somalia" "Africa" 36.8 NA "(28.6,40.2]" "Afrc" "Africa" 8 2001 "[0.3,31.1]" 2.07944154167984 "[0.3,24.2]"
"South Africa" "South Africa" "Africa" 44.3 NA "(40.2,51.8]" "Afrc" "Africa" 390.2 2004 "(152,476]" 5.96665942818901 "(212,695]"
"Spain" "Spain" "Europe" 72.6 2779 "(63.4,75]" "Eurp" "Europe" 1971.2 2004 "(476,6.1e+03]" 7.5863977733392 "(695,6.1e+03]"
"Sri Lanka" "Sri Lanka" "Asia" 61.6 NA "(51.8,63.4]" "Asia" "Asia" 42.5 2004 "(31.1,152]" 3.74950407593037 "(24.2,81.2]"
"Sudan" "Sudan" "Africa" 48.5 77 "(40.2,51.8]" "Afrc" "Africa" 24.7 2004 "[0.3,31.1]" 3.20680324363393 "(24.2,81.2]"
"Suriname" "Suriname" "South America" 58.8 1930 "(51.8,63.4]" "SthA" "S.America" 194.2 2004 "(152,476]" 5.26888855585722 "(81.2,212]"
